Sold,Selling Price,Make,Model,Mileage,Displacement (L),Aspiration,Cylinder Config,Drivetrain,Transmission,Gears,Body Style,Exterior Color,Interior Color,Title Status,Location,Seller Type,Model Year Age,Has Executive Package,Has Carbon Equipment,Has Lane Tracking Equipment,Has Leather Equipment,Has Premium Sound,Has Sunroof,Has Accident History,Has Cosmetic Flaw,Has Modifications
True,10750.0,bmw,3 series,100300.0,3.0,Naturally Aspirated,i6,4WD/AWD,manual,6.0,coupe,Blue,Other,clean,pa,private party,15,0,0,0,1,0,1,1,1,1
False,13050.0,ford,mustang,33900.0,4.6,Naturally Aspirated,v8,RWD,manual,5.0,coupe,Red,Other,clean,mi,dealer,20,0,0,0,1,0,0,0,1,1
True,66000.0,toyota,supra,73800.0,3.0,Naturally Aspirated,i6,RWD,manual,5.0,coupe,Black,Other,clean,fl,dealer,32,0,0,0,1,0,0,1,1,1
False,46345.0,toyota,supra,139900.0,3.0,turbocharged,i6,RWD,manual,5.0,coupe,Black,Black,clean,ma,dealer,30,0,0,0,0,0,0,1,1,1
True,36500.0,bmw,m2,43200.0,3.0,turbocharged,i6,RWD,manual,6.0,coupe,Gray,Black,clean,ct,private party,7,1,0,0,1,0,0,0,1,1
True,20000.0,porsche,987 cayman,94600.0,2.7,Naturally Aspirated,flat-6,RWD,manual,5.0,coupe,Black,Black,clean,ca,dealer,17,0,0,0,1,0,0,1,1,1
True,39500.0,chevrolet,camaro,59000.0,6.5,Naturally Aspirated,v8,RWD,manual,4.0,coupe,Gray,Black,clean,nv,private party,57,0,0,0,0,0,1,0,0,0
True,22000.0,dodge,challenger,32500.0,6.1,supercharged,v8,RWD,manual,6.0,coupe,Black,Black,clean,fl,private party,15,0,0,0,1,0,0,1,1,1
True,15000.0,bmw,3 series,53500.0,3.0,turbocharged,i6,RWD,automatic,7.0,coupe,Black,Black,clean,tx,private party,14,0,0,0,1,0,1,0,1,1
True,9100.0,toyota,mr2,59200.0,1.6,Naturally Aspirated,i4,RWD,manual,5.0,coupe,White,Gray,clean,ny,private party,39,0,0,0,0,0,0,1,1,1
True,23250.0,chevrolet,c5 corvette,40500.0,5.7,Naturally Aspirated,v8,RWD,manual,6.0,coupe,Black,Black,clean,fl,private party,23,0,0,0,0,0,0,1,0,1
True,15250.0,bmw,1 series,97300.0,3.0,turbocharged,i6,RWD,manual,6.0,coupe,White,Red,clean,nm,private party,13,0,0,0,1,0,1,1,1,1
False,30000.0,cadillac,cts-v,66400.0,6.2,supercharged,v8,RWD,automatic,6.0,coupe,Black,Black,clean,ny,private party,10,0,0,0,1,0,0,0,1,1
True,49982.0,porsche,718 cayman,15600.0,2.0,turbocharged,flat-4,RWD,manual,6.0,coupe,Gray,Black,clean,mi,private party,7,0,0,0,1,0,0,0,0,0
True,7600.0,bmw,6 series,136700.0,3.4,Naturally Aspirated,i6,RWD,automatic,4.0,coupe,Black,White,clean,ca,private party,38,0,0,0,1,0,1,0,1,1
False,159000.0,porsche,992 911,3600.0,4.0,Naturally Aspirated,flat-6,RWD,automatic,7.0,coupe,Blue,Black,rebuilt,in,dealer,3,0,1,0,1,0,0,1,0,1
True,2400.0,chrysler,sebring,51500.0,2.5,Naturally Aspirated,v6,FWD,automatic,4.0,coupe,Other,Gray,clean,oh,dealer,27,0,0,0,1,0,0,0,1,0
True,9888.0,pontiac,fiero,24000.0,5.7,Naturally Aspirated,v8,RWD,manual,5.0,coupe,Blue,Black,clean,wa,private party,37,0,0,0,0,0,0,1,1,1
True,38200.0,porsche,996 911,37500.0,3.4,Naturally Aspirated,flat-6,RWD,manual,6.0,coupe,Other,Other,clean,co,dealer,25,0,0,0,1,0,0,0,1,0
True,17500.0,bmw,1 series,90500.0,3.0,turbocharged,i6,RWD,manual,6.0,coupe,Black,Black,clean,ca,private party,16,0,0,0,1,0,1,1,1,1
